source_id,design_file,logical_path,size_bytes,sha256,authority,version,external_storage_pointer,git_storage,duplicate_of,verified_date
SRC-DES-021,SAQEEL Dashboard Config.dc.html,MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip!/02_APPROVED_DESIGN_EXPORTS.zip!/SAQEEL Dashboard Config.dc.html,9686,f4e52ffe845f1e7c8ca2b6d46f8097db7c6981aa1e7346ea42ec2fae892fa8ed,PRIMARY_TARGET_DESIGN,PRODUCT_OWNER_SUPPLIED_2026-07-23,/Users/vikramindla/Attachment dump/MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip,PROHIBITED_BINARY_EXTERNAL_ONLY,,2026-07-23
SRC-DES-022,SAQEEL Design System.dc.html,MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip!/02_APPROVED_DESIGN_EXPORTS.zip!/SAQEEL Design System.dc.html,115322,85da98476e91038a150b10ecb9b4e45a7f322564187de4f91d48d32e441f9921,PRIMARY_TARGET_DESIGN,PRODUCT_OWNER_SUPPLIED_2026-07-23,/Users/vikramindla/Attachment dump/MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip,PROHIBITED_BINARY_EXTERNAL_ONLY,,2026-07-23
SRC-DES-023,SAQEEL Enforcement.dc.html,MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip!/02_APPROVED_DESIGN_EXPORTS.zip!/SAQEEL Enforcement.dc.html,15480,64e1bb6e90d468451e48c538b0abf0a97b1da81033e5fe8d75273581d3cb0925,PRIMARY_TARGET_DESIGN,PRODUCT_OWNER_SUPPLIED_2026-07-23,/Users/vikramindla/Attachment dump/MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip,PROHIBITED_BINARY_EXTERNAL_ONLY,,2026-07-23
SRC-DES-024,SAQEEL Evidence OCR.dc.html,MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip!/02_APPROVED_DESIGN_EXPORTS.zip!/SAQEEL Evidence OCR.dc.html,10646,d729de4625e3f95eb779ee0e190ddeba53d707cea2890c60cfcf38bf4c36d1b4,PRIMARY_TARGET_DESIGN,PRODUCT_OWNER_SUPPLIED_2026-07-23,/Users/vikramindla/Attachment dump/MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip,PROHIBITED_BINARY_EXTERNAL_ONLY,,2026-07-23
SRC-DES-025,SAQEEL Executive Overview.html,MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip!/02_APPROVED_DESIGN_EXPORTS.zip!/SAQEEL Executive Overview.html,19504,0722d7438792a332fd533aae3c9276c54547ee29e1e7c9d80c5af17c47d078e1,PRIMARY_TARGET_DESIGN,PRODUCT_OWNER_SUPPLIED_2026-07-23,/Users/vikramindla/Attachment dump/MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip,PROHIBITED_BINARY_EXTERNAL_ONLY,,2026-07-23
SRC-DES-026,SAQEEL Factories.dc.html,MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip!/02_APPROVED_DESIGN_EXPORTS.zip!/SAQEEL Factories.dc.html,11275,b6fbf963aee937be7cf40b8df65862b10a88ccd8a89dd3ac5a6021a87f2244c6,PRIMARY_TARGET_DESIGN,PRODUCT_OWNER_SUPPLIED_2026-07-23,/Users/vikramindla/Attachment dump/MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip,PROHIBITED_BINARY_EXTERNAL_ONLY,,2026-07-23
SRC-DES-027,SAQEEL Factory 360.dc.html,MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip!/02_APPROVED_DESIGN_EXPORTS.zip!/SAQEEL Factory 360.dc.html,29251,680c838cde826e24d1ad53ac4438a4de06379e0cf07605d30ad3d1d1a2392d77,PRIMARY_TARGET_DESIGN,PRODUCT_OWNER_SUPPLIED_2026-07-23,/Users/vikramindla/Attachment dump/MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip,PROHIBITED_BINARY_EXTERNAL_ONLY,,2026-07-23
SRC-DES-028,SAQEEL Feedback.dc.html,MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip!/02_APPROVED_DESIGN_EXPORTS.zip!/SAQEEL Feedback.dc.html,26951,ed0489f3337705afaf3ea4065e05e8fc10e70bc9ef1bfd67fb4fde1fe2661430,PRIMARY_TARGET_DESIGN,PRODUCT_OWNER_SUPPLIED_2026-07-23,/Users/vikramindla/Attachment dump/MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip,PROHIBITED_BINARY_EXTERNAL_ONLY,,2026-07-23
SRC-DES-029,SAQEEL Incident Reports.dc.html,MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip!/02_APPROVED_DESIGN_EXPORTS.zip!/SAQEEL Incident Reports.dc.html,8016,38623bb5aa5100c3e1d984cf4ec9fbff6d39e432ac4d0421f4fa253ebdacfd44,PRIMARY_TARGET_DESIGN,PRODUCT_OWNER_SUPPLIED_2026-07-23,/Users/vikramindla/Attachment dump/MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip,PROHIBITED_BINARY_EXTERNAL_ONLY,,2026-07-23
SRC-DES-030,SAQEEL Inspection Report.dc.html,MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip!/02_APPROVED_DESIGN_EXPORTS.zip!/SAQEEL Inspection Report.dc.html,10671,fb0f9621090f63a116d0c93afdc741f614e0c7e34a51064d6c1a33a955f00f4a,PRIMARY_TARGET_DESIGN,PRODUCT_OWNER_SUPPLIED_2026-07-23,/Users/vikramindla/Attachment dump/MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip,PROHIBITED_BINARY_EXTERNAL_ONLY,,2026-07-23
