relative_path,absolute_path,file_name,extension,size_bytes,sha256,git_tracked,last_git_commit,category,classification,referenced_by_code,referenced_by_test,referenced_by_ci,referenced_by_governance,move_recommendation,destination_path,reason,status
.claude/skills/inspection-build-slice/SKILL.md,/Users/vikramindla/Documents/GitHub/Inspection/.claude/skills/inspection-build-slice/SKILL.md,SKILL.md,.md,459,70a60b2eb9b227fe60ebf60a855318578c6cf429ffa96125e94fd27a6f62b322,true,50daddd5f1e63dfc09dcc8ea8659a5ad85ca3a8a,GOVERNANCE,C. CLAUDE_OR_GOVERNANCE_REQUIRED,false,false,false,true,RETAIN,,"Claude continuity, repository memory, or agent governance.",DISCOVERED
.claude/skills/inspection-gate-check/SKILL.md,/Users/vikramindla/Documents/GitHub/Inspection/.claude/skills/inspection-gate-check/SKILL.md,SKILL.md,.md,380,149fb1226c78abc8a38d9ab370f9c5908a2dc7664651fe7dd7cb65992db60dfe,true,50daddd5f1e63dfc09dcc8ea8659a5ad85ca3a8a,GOVERNANCE,C. CLAUDE_OR_GOVERNANCE_REQUIRED,false,false,false,true,RETAIN,,"Claude continuity, repository memory, or agent governance.",DISCOVERED
.claude/skills/inspection-qa-certification/SKILL.md,/Users/vikramindla/Documents/GitHub/Inspection/.claude/skills/inspection-qa-certification/SKILL.md,SKILL.md,.md,407,a21cd1096a1cef3e2d1162a97bc4478d2c805f41336be1434e197c5254692505,true,50daddd5f1e63dfc09dcc8ea8659a5ad85ca3a8a,GOVERNANCE,C. CLAUDE_OR_GOVERNANCE_REQUIRED,false,false,false,true,RETAIN,,"Claude continuity, repository memory, or agent governance.",DISCOVERED
.claude/skills/inspection-session-handoff/SKILL.md,/Users/vikramindla/Documents/GitHub/Inspection/.claude/skills/inspection-session-handoff/SKILL.md,SKILL.md,.md,467,8c4f13eedfc64506b0b41ab852aaa672f2647bd56f7e3e4cca38ee555468c8c1,true,50daddd5f1e63dfc09dcc8ea8659a5ad85ca3a8a,GOVERNANCE,C. CLAUDE_OR_GOVERNANCE_REQUIRED,false,false,false,true,RETAIN,,"Claude continuity, repository memory, or agent governance.",DISCOVERED
.claude/skills/inspection-session-start/SKILL.md,/Users/vikramindla/Documents/GitHub/Inspection/.claude/skills/inspection-session-start/SKILL.md,SKILL.md,.md,556,04940a5c09d5f10c55a529f86590230ccdec2f3ffc7102719f84d20ccffb8f4b,true,50daddd5f1e63dfc09dcc8ea8659a5ad85ca3a8a,GOVERNANCE,C. CLAUDE_OR_GOVERNANCE_REQUIRED,false,false,false,true,RETAIN,,"Claude continuity, repository memory, or agent governance.",DISCOVERED
.obsidian/app.json,/Users/vikramindla/Documents/GitHub/Inspection/.obsidian/app.json,app.json,.json,242,be46bf1720ac2bbe794c424472e74eb405be4103537b7130e63005b131f8ab53,true,50daddd5f1e63dfc09dcc8ea8659a5ad85ca3a8a,GOVERNANCE,C. CLAUDE_OR_GOVERNANCE_REQUIRED,false,false,true,true,RETAIN,,"Claude continuity, repository memory, or agent governance.",DISCOVERED
.obsidian/appearance.json,/Users/vikramindla/Documents/GitHub/Inspection/.obsidian/appearance.json,appearance.json,.json,91,0e5aea1f38f8e1d627b7cc75f7309d120a42f34ac2f608d5e6966e69eaa57a0e,true,50daddd5f1e63dfc09dcc8ea8659a5ad85ca3a8a,GOVERNANCE,C. CLAUDE_OR_GOVERNANCE_REQUIRED,false,false,false,true,RETAIN,,"Claude continuity, repository memory, or agent governance.",DISCOVERED
.obsidian/core-plugins.json,/Users/vikramindla/Documents/GitHub/Inspection/.obsidian/core-plugins.json,core-plugins.json,.json,281,964a34f61dc1e0df248a251fde77bc325482067b9ad27a73467dd78d707adcf5,true,50daddd5f1e63dfc09dcc8ea8659a5ad85ca3a8a,GOVERNANCE,C. CLAUDE_OR_GOVERNANCE_REQUIRED,false,false,false,true,RETAIN,,"Claude continuity, repository memory, or agent governance.",DISCOVERED
.obsidian/graph.json,/Users/vikramindla/Documents/GitHub/Inspection/.obsidian/graph.json,graph.json,.json,695,4a12c624e2d2de380e188a286c05616340d0f7b104da44049343d59738c6dc32,true,50daddd5f1e63dfc09dcc8ea8659a5ad85ca3a8a,GOVERNANCE,C. CLAUDE_OR_GOVERNANCE_REQUIRED,false,false,false,true,RETAIN,,"Claude continuity, repository memory, or agent governance.",DISCOVERED
.project-memory/audit/compactions.jsonl,/Users/vikramindla/Documents/GitHub/Inspection/.project-memory/audit/compactions.jsonl,compactions.jsonl,.jsonl,192444,423d09df85d9e8b16efcb53d37d1a9d0dcb7b8d92562c8b4497e15f9777de17b,true,cafc23c7d1f5824a460c54fd8fc3865bf4839a50,GOVERNANCE,C. CLAUDE_OR_GOVERNANCE_REQUIRED,false,false,false,true,RETAIN,,"Claude continuity, repository memory, or agent governance.",DISCOVERED
.project-memory/audit/config_changes.jsonl,/Users/vikramindla/Documents/GitHub/Inspection/.project-memory/audit/config_changes.jsonl,config_changes.jsonl,.jsonl,1284,f064ca50e22f4cd806d25bcfa7fe0b2f457b1c40804783f2b56964d85ebe193a,true,4db2c374998982bbca505976459978b6c9385bac,GOVERNANCE,C. CLAUDE_OR_GOVERNANCE_REQUIRED,false,false,false,true,RETAIN,,"Claude continuity, repository memory, or agent governance.",DISCOVERED
.project-memory/audit/instructions_loaded.jsonl,/Users/vikramindla/Documents/GitHub/Inspection/.project-memory/audit/instructions_loaded.jsonl,instructions_loaded.jsonl,.jsonl,108855,6093d3017b2b1561f00616fac30dce2f04e2c9d055e45cefabe6a40004aa15b0,true,4db2c374998982bbca505976459978b6c9385bac,GOVERNANCE,C. CLAUDE_OR_GOVERNANCE_REQUIRED,false,false,false,true,RETAIN,,"Claude continuity, repository memory, or agent governance.",DISCOVERED
.project-memory/audit/session_end.jsonl,/Users/vikramindla/Documents/GitHub/Inspection/.project-memory/audit/session_end.jsonl,session_end.jsonl,.jsonl,365937,24ce5bc6ae481a656c9644fc9b960a034b5e42229715a661bb604e95c2698d6e,true,4db2c374998982bbca505976459978b6c9385bac,GOVERNANCE,C. CLAUDE_OR_GOVERNANCE_REQUIRED,false,false,false,true,RETAIN,,"Claude continuity, repository memory, or agent governance.",DISCOVERED
.project-memory/audit/tool_events.jsonl,/Users/vikramindla/Documents/GitHub/Inspection/.project-memory/audit/tool_events.jsonl,tool_events.jsonl,.jsonl,5860657,92556e9e98c785d89a0e9dd1664888f4e3945c03cc1f59e402af60128d04a104,true,4db2c374998982bbca505976459978b6c9385bac,GOVERNANCE,C. CLAUDE_OR_GOVERNANCE_REQUIRED,false,false,false,true,RETAIN,,"Claude continuity, repository memory, or agent governance.",DISCOVERED
AGENTS.md,/Users/vikramindla/Documents/GitHub/Inspection/AGENTS.md,AGENTS.md,.md,3670,3b90d53d04e8f36881733e2185c0c8a24dbd92717724a068fa10ae6c3abadd80,true,130cc6b67712acc182fb98d14e0b03c64849e309,GOVERNANCE,C. CLAUDE_OR_GOVERNANCE_REQUIRED,false,false,false,true,RETAIN,,"Current contract, build, traceability, or session authority.",DISCOVERED
